,Ind,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Asset Volume,Ignore
2021-02-28 19:00:00.000000000,0,1614556800000.0,0.0046571,0.0047558,0.0046494,0.0047351,53875.55,1614560399999.0,253.65668841,17797.0,29849.41,140.54948965,0.0
2021-02-28 20:00:13.270142180,1,1614560400000.0,0.0047352,0.0047624,0.0046863,0.0047556,32586.14,1614563999999.0,154.01036057,11857.0,14521.86,68.69675509,0.0
2021-02-28 21:00:26.540284360,2,1614564000000.0,0.0047541,0.0048758,0.0047358,0.0048513,42319.84,1614567599999.0,203.93344217,13908.0,24267.95,116.85127323,0.0
2021-02-28 22:00:39.810426540,3,1614567600000.0,0.0048519,0.004935,0.0048107,0.0048442,52287.31,1614571199999.0,255.25996298,16442.0,27295.88,133.43937703,0.0
2021-02-28 23:00:53.080568720,4,1614571200000.0,0.0048454,0.0048578,0.0047667,0.0048104,34724.07,1614574799999.0,166.66669165,10014.0,12979.69,62.28417423,0.0
2021-03-01 00:01:06.350710900,5,1614574800000.0,0.0048104,0.0048764,0.004776,0.004801,43550.25,1614578399999.0,210.50739435,12109.0,20060.72,96.98654012,0.0
2021-03-01 01:01:19.620853080,6,1614578400000.0,0.0048011,0.0048293,0.0047447,0.0047461,42315.86,1614581999999.0,202.68263344,10155.0,21751.15,104.21621861,0.0
2021-03-01 02:01:32.890995260,7,1614582000000.0,0.0047452,0.0048147,0.00474,0.0048146,43004.99,1614585599999.0,205.55487015,10187.0,21523.86,102.88092073,0.0
2021-03-01 03:01:46.161137440,8,1614585600000.0,0.0048141,0.0049397,0.0048088,0.0049064,98649.94,1614589199999.0,480.29733623,24017.0,56124.9,273.34337118,0.0
2021-03-01 04:01:59.431279620,9,1614589200000.0,0.0049065,0.0050496,0.00489,0.0050378,95751.17,1614592799999.0,477.51720273,27548.0,55682.19,277.75036617,0.0
2021-03-01 05:02:12.701421800,10,1614592800000.0,0.0050384,0.0052354,0.0049664,0.0052,114600.4,1614596399999.0,583.31824153,36008.0,62418.78,317.92155407,0.0
2021-03-01 06:02:25.971563981,11,1614596400000.0,0.0052026,0.0053951,0.0051568,0.0052711,177536.61,1614599999999.0,940.62014657,52005.0,77209.2,408.96614974,0.0
2021-03-01 07:02:39.241706161,12,1614600000000.0,0.0052718,0.005338,0.00519,0.005239,79802.3,1614603599999.0,420.38901052,27249.0,39285.74,206.99527561,0.0
2021-03-01 08:02:52.511848341,13,1614603600000.0,0.0052385,0.0053115,0.0051843,0.0051843,77579.7,1614607199999.0,407.28327674,24036.0,32578.69,170.95543298,0.0
2021-03-01 09:03:05.781990521,14,1614607200000.0,0.0051855,0.005225,0.0051438,0.0051849,61999.01,1614610799999.0,321.74737383,18770.0,30714.61,159.46061998,0.0
2021-03-01 10:03:19.052132701,15,1614610800000.0,0.0051847,0.0052992,0.0051572,0.0052146,71799.53,1614614399999.0,375.77416774,23524.0,35429.88,185.43869401,0.0
2021-03-01 11:03:32.322274881,16,1614614400000.0,0.0052143,0.0052201,0.0050584,0.0050789,91769.43,1614617999999.0,471.30660205,29269.0,43111.92,221.42735289,0.0
2021-03-01 12:03:45.592417061,17,1614618000000.0,0.0050794,0.0051121,0.005002,0.0050029,60612.87,1614621599999.0,307.56969924,18825.0,30064.68,152.63669724,0.0
2021-03-01 13:03:58.862559241,18,1614621600000.0,0.0050025,0.0051052,0.0049808,0.0051052,57086.35,1614625199999.0,286.99063087,17457.0,28360.59,142.70863687,0.0
2021-03-01 14:04:12.132701421,19,1614625200000.0,0.0051049,0.0051226,0.005052,0.0050637,39322.98,1614628799999.0,199.99872734,13866.0,17520.84,89.13340325,0.0
2021-03-01 15:04:25.402843601,20,1614628800000.0,0.0050621,0.0051168,0.0050586,0.0050747,40528.1,1614632399999.0,206.08563909,12087.0,21518.7,109.40769046,0.0
2021-03-01 16:04:38.672985781,21,1614632400000.0,0.0050747,0.0053285,0.005037,0.0051258,76819.51,1614635999999.0,393.48894273,26654.0,52111.22,267.45185149,0.0
2021-03-01 17:04:51.943127962,22,1614636000000.0,0.0051256,0.0051987,0.0050959,0.0051786,40995.61,1614639599999.0,210.63983015,16353.0,24822.76,127.52026977,0.0
2021-03-01 18:05:05.213270142,23,1614639600000.0,0.0051785,0.0051802,0.0051085,0.0051393,43288.55,1614643199999.0,222.8422033,16164.0,22632.56,116.51526145,0.0
2021-03-01 19:05:18.483412322,24,1614643200000.0,0.0051395,0.0052796,0.0051301,0.005181,90969.17,1614646799999.0,474.50208118,27941.0,47395.74,247.36009782,0.0
2021-03-01 20:05:31.753554502,25,1614646800000.0,0.0051808,0.00519,0.0051253,0.0051853,30201.49,1614650399999.0,155.95697837,11282.0,15828.6,81.77313674,0.0
2021-03-01 21:05:45.023696682,26,1614650400000.0,0.0051858,0.0051886,0.0050999,0.0051378,58773.17,1614653999999.0,301.48022664,16728.0,31841.54,163.31895639,0.0
2021-03-01 22:05:58.293838862,27,1614654000000.0,0.0051378,0.0051392,0.0050429,0.0050794,40852.92,1614657599999.0,207.77598037,11595.0,21686.55,110.28810452,0.0
2021-03-01 23:06:11.563981042,28,1614657600000.0,0.0050762,0.0051123,0.0050586,0.0051084,25334.0,1614661199999.0,128.7999277,8497.0,12804.8,65.10958491,0.0
2021-03-02 00:06:24.834123222,29,1614661200000.0,0.0051108,0.0051451,0.0050919,0.0050989,24249.48,1614664799999.0,124.16904799,8388.0,11378.45,58.26860039,0.0
2021-03-02 01:06:38.104265402,30,1614664800000.0,0.0050956,0.0051116,0.0050479,0.0050656,33566.0,1614668399999.0,170.20417247,10589.0,17369.3,88.08281344,0.0
2021-03-02 02:06:51.374407582,31,1614668400000.0,0.0050658,0.0051041,0.0050274,0.0050964,26890.86,1614671999999.0,136.25380635,9688.0,13884.72,70.38026381,0.0
2021-03-02 03:07:04.644549763,32,1614672000000.0,0.0050964,0.0051753,0.0050944,0.0051614,38422.12,1614675599999.0,197.55467616,12255.0,18582.24,95.50147022,0.0
2021-03-02 04:07:17.914691943,33,1614675600000.0,0.0051614,0.0052026,0.0051455,0.0051499,42411.63,1614679199999.0,219.7145601,13681.0,24148.76,125.13530151,0.0
2021-03-02 05:07:31.184834123,34,1614679200000.0,0.0051496,0.0051714,0.005087,0.0050991,24712.89,1614682799999.0,126.74244504,10747.0,11250.64,57.71967935,0.0
2021-03-02 06:07:44.454976303,35,1614682800000.0,0.0050997,0.0051465,0.0050854,0.0051219,29738.68,1614686399999.0,152.1087216,10460.0,15897.11,81.30134157,0.0
2021-03-02 07:07:57.725118483,36,1614686400000.0,0.0051213,0.0051479,0.0051039,0.0051119,19427.4,1614689999999.0,99.52851428,7905.0,10249.36,52.51645656,0.0
2021-03-02 08:08:10.995260663,37,1614690000000.0,0.0051118,0.0051527,0.0050932,0.0051145,23340.2,1614693599999.0,119.66114284,11033.0,11186.81,57.35808583,0.0
2021-03-02 09:08:24.265402843,38,1614693600000.0,0.0051143,0.0051542,0.0051022,0.0051204,51845.62,1614697199999.0,265.83668313,14264.0,32599.36,167.19356675,0.0
2021-03-02 10:08:37.535545023,39,1614697200000.0,0.0051199,0.0051356,0.0050584,0.0050754,60469.18,1614700799999.0,308.06663422,19536.0,41247.13,210.13993737,0.0
2021-03-02 11:08:50.805687203,40,1614700800000.0,0.0050755,0.005081,0.0049133,0.004961,142264.74,1614704399999.0,714.70987669,41936.0,90581.76,455.5308721,0.0
2021-03-02 12:09:04.075829383,41,1614704400000.0,0.0049588,0.0049855,0.0049,0.0049511,56111.99,1614707999999.0,277.12676723,22894.0,27280.08,134.80060732,0.0
