,Ind,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Asset Volume,Ignore
2019-12-26 19:00:00.000000000,0,,,,,,,,,,,,
2019-12-26 23:00:05.774783445,1,,,,,,,,,,,,
2019-12-27 03:00:11.549566891,2,,,,,,,,,,,,
2019-12-27 07:00:17.324350336,3,,,,,,,,,,,,
2019-12-27 11:00:23.099133782,4,,,,,,,,,,,,
2019-12-27 15:00:28.873917228,5,,,,,,,,,,,,
2019-12-27 19:00:34.648700673,6,,,,,,,,,,,,
2019-12-27 23:00:40.423484119,7,,,,,,,,,,,,
2019-12-28 03:00:46.198267564,8,,,,,,,,,,,,
2019-12-28 07:00:51.973051010,9,,,,,,,,,,,,
2019-12-28 11:00:57.747834456,10,,,,,,,,,,,,
2019-12-28 15:01:03.522617901,11,,,,,,,,,,,,
2019-12-28 19:01:09.297401347,12,,,,,,,,,,,,
2019-12-28 23:01:15.072184793,13,,,,,,,,,,,,
2019-12-29 03:01:20.846968238,14,,,,,,,,,,,,
2019-12-29 07:01:26.621751684,15,,,,,,,,,,,,
2019-12-29 11:01:32.396535129,16,,,,,,,,,,,,
2019-12-29 15:01:38.171318575,17,,,,,,,,,,,,
2019-12-29 19:01:43.946102021,18,,,,,,,,,,,,
2019-12-29 23:01:49.720885466,19,,,,,,,,,,,,
2019-12-30 03:01:55.495668912,20,,,,,,,,,,,,
2019-12-30 07:02:01.270452358,21,,,,,,,,,,,,
2019-12-30 11:02:07.045235803,22,,,,,,,,,,,,
2019-12-30 15:02:12.820019249,23,,,,,,,,,,,,
2019-12-30 19:02:18.594802694,24,,,,,,,,,,,,
2019-12-30 23:02:24.369586140,25,,,,,,,,,,,,
2019-12-31 03:02:30.144369586,26,,,,,,,,,,,,
2019-12-31 07:02:35.919153031,27,,,,,,,,,,,,
2019-12-31 11:02:41.693936477,28,,,,,,,,,,,,
2019-12-31 15:02:47.468719923,29,,,,,,,,,,,,
2019-12-31 19:02:53.243503368,30,1577836800000.0,0.017954,0.018145,0.01792,0.018021,11442.653,1577851199999.0,206.34489969,13841.0,5622.807,101.38978655,0.0
2019-12-31 23:02:59.018286814,31,1577851200000.0,0.01802,0.018087,0.018009,0.01807,8838.941,1577865599999.0,159.53660598,12245.0,4370.593,78.8905408,0.0
2020-01-01 03:03:04.793070259,32,1577865600000.0,0.018068,0.018236,0.01806,0.018165,10348.196,1577879999999.0,187.60948835,13268.0,5544.309,100.51293808,0.0
2020-01-01 07:03:10.567853705,33,1577880000000.0,0.018165,0.018295,0.018158,0.018253,12010.214,1577894399999.0,218.93127048,14151.0,6772.991,123.4489812,0.0
2020-01-01 11:03:16.342637151,34,1577894400000.0,0.018257,0.018356,0.018201,0.018244,11617.357,1577908799999.0,212.38313457,14744.0,5590.784,102.21879605,0.0
2020-01-01 15:03:22.117420596,35,1577908800000.0,0.018245,0.018295,0.01805,0.01815,14860.207,1577923199999.0,269.75056593,15855.0,6836.113,124.14996822,0.0
2020-01-01 19:03:27.892204042,36,1577923200000.0,0.018152,0.018156,0.01801,0.01811,11259.313,1577937599999.0,203.61154585,12657.0,5126.086,92.7149444,0.0
2020-01-01 23:03:33.666987488,37,1577937600000.0,0.018109,0.018193,0.018078,0.018181,8855.695,1577951999999.0,160.64880577,11810.0,4534.869,82.26471921,0.0
2020-01-02 03:03:39.441770933,38,1577952000000.0,0.018174,0.018209,0.018103,0.018139,10276.275,1577966399999.0,186.51480801,11965.0,4701.665,85.33233873,0.0
2020-01-02 07:03:45.216554379,39,1577966400000.0,0.018146,0.01819,0.01812,0.018173,11259.478,1577980799999.0,204.33539688,12040.0,5920.038,107.43521918,0.0
2020-01-02 11:03:50.991337824,40,1577980800000.0,0.018174,0.018299,0.017965,0.018275,25381.865,1577995199999.0,461.51105446,23738.0,13336.036,242.5370516,0.0
2020-01-02 15:03:56.766121270,41,1577995200000.0,0.018275,0.018319,0.018232,0.018256,12413.282,1578009599999.0,226.83633857,12763.0,5678.504,103.78241076,0.0
