,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Asset Volume,Ignore
2021-02-28 19:00:00.000000000,1614556800000,0.00002487,0.00002503,0.00002461,0.00002481,113084.00000000,1614560399999,2.80941183,458,32450.00000000,0.80637864,0
2021-02-28 20:00:14.031180400,1614560400000,0.00002478,0.00002483,0.00002458,0.00002480,69457.00000000,1614563999999,1.71464048,256,20228.00000000,0.49981359,0
2021-02-28 21:00:28.062360801,1614564000000,0.00002481,0.00002539,0.00002477,0.00002505,325756.00000000,1614567599999,8.16133206,1114,128541.00000000,3.22101248,0
2021-02-28 22:00:42.093541202,1614567600000,0.00002505,0.00002534,0.00002501,0.00002525,155155.00000000,1614571199999,3.90204652,527,91865.00000000,2.31066905,0
2021-02-28 23:00:56.124721603,1614571200000,0.00002529,0.00002536,0.00002487,0.00002507,192112.00000000,1614574799999,4.81441718,621,108728.00000000,2.72428730,0
2021-03-01 00:01:10.155902004,1614574800000,0.00002507,0.00002511,0.00002478,0.00002480,108532.00000000,1614578399999,2.70742412,390,42014.00000000,1.04855654,0
2021-03-01 01:01:24.187082405,1614578400000,0.00002484,0.00002521,0.00002467,0.00002478,169916.00000000,1614581999999,4.25079006,812,91948.00000000,2.30301926,0
2021-03-01 02:01:38.218262806,1614582000000,0.00002479,0.00002533,0.00002479,0.00002530,155670.00000000,1614585599999,3.91038574,667,103820.00000000,2.60778064,0
2021-03-01 03:01:52.249443207,1614585600000,0.00002531,0.00002546,0.00002520,0.00002535,171088.00000000,1614589199999,4.33471263,662,92994.00000000,2.35858325,0
2021-03-01 04:02:06.280623608,1614589200000,0.00002535,0.00002574,0.00002512,0.00002555,556928.00000000,1614592799999,14.13718211,1007,221799.00000000,5.64055766,0
2021-03-01 05:02:20.311804008,1614592800000,0.00002553,0.00002588,0.00002541,0.00002582,436379.00000000,1614596399999,11.24034877,1295,126373.00000000,3.24989779,0
2021-03-01 06:02:34.342984409,1614596400000,0.00002581,0.00002600,0.00002536,0.00002549,429671.00000000,1614599999999,11.03452820,1294,147642.00000000,3.79397229,0
2021-03-01 07:02:48.374164810,1614600000000,0.00002550,0.00002572,0.00002535,0.00002537,304492.00000000,1614603599999,7.76646832,730,177170.00000000,4.52459063,0
2021-03-01 08:03:02.405345211,1614603600000,0.00002538,0.00002543,0.00002504,0.00002506,284344.00000000,1614607199999,7.17582902,814,139148.00000000,3.51485677,0
2021-03-01 09:03:16.436525612,1614607200000,0.00002508,0.00002533,0.00002494,0.00002533,348646.00000000,1614610799999,8.75392379,803,215553.00000000,5.41438245,0
2021-03-01 10:03:30.467706013,1614610800000,0.00002527,0.00002557,0.00002501,0.00002514,234504.00000000,1614614399999,5.93613305,883,105696.00000000,2.67955397,0
2021-03-01 11:03:44.498886414,1614614400000,0.00002514,0.00002538,0.00002472,0.00002473,353112.00000000,1614617999999,8.85792692,1086,156069.00000000,3.91974421,0
2021-03-01 12:03:58.530066815,1614618000000,0.00002473,0.00002510,0.00002448,0.00002457,346951.00000000,1614621599999,8.58579258,920,131403.00000000,3.26172181,0
2021-03-01 13:04:12.561247216,1614621600000,0.00002459,0.00002472,0.00002445,0.00002472,216090.00000000,1614625199999,5.30536850,476,118279.00000000,2.90744671,0
2021-03-01 14:04:26.592427616,1614625200000,0.00002473,0.00002481,0.00002446,0.00002452,174945.00000000,1614628799999,4.31487947,713,88169.00000000,2.17514314,0
2021-03-01 15:04:40.623608017,1614628800000,0.00002448,0.00002463,0.00002437,0.00002454,199907.00000000,1614632399999,4.89791655,588,104410.00000000,2.56068161,0
2021-03-01 16:04:54.654788418,1614632400000,0.00002450,0.00002493,0.00002447,0.00002484,202622.00000000,1614635999999,5.00610036,668,62521.00000000,1.54597494,0
2021-03-01 17:05:08.685968819,1614636000000,0.00002480,0.00002480,0.00002446,0.00002461,184552.00000000,1614639599999,4.54465324,687,66228.00000000,1.63237622,0
2021-03-01 18:05:22.717149220,1614639600000,0.00002466,0.00002466,0.00002410,0.00002449,722954.00000000,1614643199999,17.55091474,1434,411409.00000000,9.98770074,0
2021-03-01 19:05:36.748329621,1614643200000,0.00002449,0.00002461,0.00002418,0.00002427,242567.00000000,1614646799999,5.92528284,748,166374.00000000,4.06718273,0
2021-03-01 20:05:50.779510022,1614646800000,0.00002427,0.00002444,0.00002419,0.00002426,160595.00000000,1614650399999,3.90188031,403,54388.00000000,1.32275285,0
2021-03-01 21:06:04.810690423,1614650400000,0.00002428,0.00002434,0.00002413,0.00002422,144605.00000000,1614653999999,3.50335486,381,50118.00000000,1.21498152,0
2021-03-01 22:06:18.841870824,1614654000000,0.00002422,0.00002430,0.00002396,0.00002399,189624.00000000,1614657599999,4.57311448,604,80429.00000000,1.94179838,0
2021-03-01 23:06:32.873051224,1614657600000,0.00002402,0.00002447,0.00002400,0.00002442,194279.00000000,1614661199999,4.70083714,603,93954.00000000,2.27518429,0
2021-03-02 00:06:46.904231625,1614661200000,0.00002446,0.00002460,0.00002418,0.00002425,99957.00000000,1614664799999,2.43750248,416,35043.00000000,0.85572746,0
2021-03-02 01:07:00.935412026,1614664800000,0.00002425,0.00002452,0.00002411,0.00002434,515140.00000000,1614668399999,12.51627157,948,281027.00000000,6.82695661,0
2021-03-02 02:07:14.966592427,1614668400000,0.00002437,0.00002460,0.00002419,0.00002448,161335.00000000,1614671999999,3.93838272,509,96160.00000000,2.34948810,0
2021-03-02 03:07:28.997772828,1614672000000,0.00002454,0.00002473,0.00002446,0.00002468,200429.00000000,1614675599999,4.93312721,641,97833.00000000,2.40868115,0
2021-03-02 04:07:43.028953229,1614675600000,0.00002472,0.00002487,0.00002465,0.00002468,158276.00000000,1614679199999,3.91949323,516,77477.00000000,1.91998975,0
2021-03-02 05:07:57.060133630,1614679200000,0.00002473,0.00002497,0.00002454,0.00002467,242072.00000000,1614682799999,6.00685235,708,116471.00000000,2.89422527,0
2021-03-02 06:08:11.091314031,1614682800000,0.00002468,0.00002484,0.00002450,0.00002469,394807.00000000,1614686399999,9.74755015,814,167981.00000000,4.15071648,0
2021-03-02 07:08:25.122494432,1614686400000,0.00002467,0.00002469,0.00002447,0.00002465,279202.00000000,1614689999999,6.85891489,629,69053.00000000,1.69791653,0
2021-03-02 08:08:39.153674832,1614690000000,0.00002465,0.00002487,0.00002461,0.00002483,239129.00000000,1614693599999,5.92479793,560,169203.00000000,4.19441328,0
2021-03-02 09:08:53.184855233,1614693600000,0.00002483,0.00002504,0.00002470,0.00002484,388010.00000000,1614697199999,9.64597574,806,230799.00000000,5.74120490,0
2021-03-02 10:09:07.216035634,1614697200000,0.00002484,0.00002506,0.00002458,0.00002467,235069.00000000,1614700799999,5.81977264,984,123428.00000000,3.05639380,0
2021-03-02 11:09:21.247216035,1614700800000,0.00002468,0.00002500,0.00002417,0.00002437,500475.00000000,1614704399999,12.31482617,1494,247475.00000000,6.10064540,0
2021-03-02 12:09:35.278396436,1614704400000,0.00002438,0.00002448,0.00002412,0.00002442,537789.00000000,1614707999999,13.06657054,1332,290311.00000000,7.06270039,0
2021-03-02 13:09:49.309576837,1614708000000,0.00002439,0.00002454,0.00002415,0.00002419,327763.00000000,1614711599999,7.98714111,903,173197.00000000,4.22206015,0
2021-03-02 14:10:03.340757238,1614711600000,0.00002419,0.00002423,0.00002385,0.00002388,463537.00000000,1614715199999,11.14626754,977,151343.00000000,3.64812992,0
2021-03-02 15:10:17.371937639,1614715200000,0.00002388,0.00002419,0.00002380,0.00002412,703085.00000000,1614718799999,16.83179858,1572,208014.00000000,4.99280899,0
2021-03-02 16:10:31.403118040,1614718800000,0.00002417,0.00002435,0.00002396,0.00002422,405701.00000000,1614722399999,9.81124185,942,184167.00000000,4.45415868,0
2021-03-02 17:10:45.434298440,1614722400000,0.00002420,0.00002462,0.00002412,0.00002455,125466.00000000,1614725999999,3.05769559,597,62825.00000000,1.53521004,0
2021-03-02 18:10:59.465478841,1614726000000,0.00002452,0.00002462,0.00002443,0.00002443,205988.00000000,1614729599999,5.04543118,480,143491.00000000,3.51610377,0
2021-03-02 19:11:13.496659242,1614729600000,0.00002443,0.00002463,0.00002443,0.00002450,363976.00000000,1614733199999,8.90334901,419,110205.00000000,2.69891634,0
2021-03-02 20:11:27.527839643,1614733200000,0.00002451,0.00002460,0.00002443,0.00002450,77445.00000000,1614736799999,1.89735982,251,23030.00000000,0.56459109,0
2021-03-02 21:11:41.559020044,1614736800000,0.00002450,0.00002483,0.00002433,0.00002453,218875.00000000,1614740399999,5.36415798,589,76551.00000000,1.88443364,0
2021-03-02 22:11:55.590200445,1614740400000,0.00002453,0.00002460,0.00002432,0.00002433,143784.00000000,1614743999999,3.51368906,355,39584.00000000,0.96826470,0
2021-03-02 23:12:09.621380846,1614744000000,0.00002433,0.00002444,0.00002425,0.00002434,57824.00000000,1614747599999,1.40725898,301,20990.00000000,0.51021864,0
2021-03-03 00:12:23.652561247,1614747600000,0.00002437,0.00002447,0.00002430,0.00002437,87591.00000000,1614751199999,2.13461575,232,59610.00000000,1.45281752,0
2021-03-03 01:12:37.683741648,1614751200000,0.00002435,0.00002454,0.00002431,0.00002447,82280.00000000,1614754799999,2.01140358,342,40304.00000000,0.98599522,0
2021-03-03 02:12:51.714922049,1614754800000,0.00002447,0.00002453,0.00002434,0.00002440,197188.00000000,1614758399999,4.82020399,472,84789.00000000,2.07449579,0
2021-03-03 03:13:05.746102449,1614758400000,0.00002442,0.00002478,0.00002419,0.00002462,447181.00000000,1614761999999,10.93670526,1179,200845.00000000,4.92077414,0
2021-03-03 04:13:19.777282850,1614762000000,0.00002462,0.00002474,0.00002421,0.00002439,316305.00000000,1614765599999,7.73096512,1070,167829.00000000,4.10324116,0
2021-03-03 05:13:33.808463251,1614765600000,0.00002443,0.00002452,0.00002407,0.00002419,235795.00000000,1614769199999,5.72118794,839,92469.00000000,2.24301917,0
2021-03-03 06:13:47.839643652,1614769200000,0.00002419,0.00002442,0.00002387,0.00002406,274641.00000000,1614772799999,6.63415190,893,155865.00000000,3.76894099,0
2021-03-03 07:14:01.870824053,1614772800000,0.00002405,0.00002409,0.00002366,0.00002369,258020.00000000,1614776399999,6.16614105,845,79291.00000000,1.89653608,0
2021-03-03 08:14:15.902004454,1614776400000,0.00002375,0.00002389,0.00002363,0.00002374,173269.00000000,1614779999999,4.11663444,706,104309.00000000,2.47939082,0
2021-03-03 09:14:29.933184855,1614780000000,0.00002377,0.00002381,0.00002351,0.00002367,137563.00000000,1614783599999,3.25352133,638,74437.00000000,1.76092919,0
2021-03-03 10:14:43.964365256,1614783600000,0.00002370,0.00002392,0.00002366,0.00002392,74919.00000000,1614787199999,1.78296889,461,28705.00000000,0.68353939,0
2021-03-03 11:14:57.995545657,1614787200000,0.00002389,0.00002408,0.00002378,0.00002408,148543.00000000,1614790799999,3.55385677,534,65830.00000000,1.57738430,0
2021-03-03 12:15:12.026726057,1614790800000,0.00002408,0.00002417,0.00002386,0.00002392,115994.00000000,1614794399999,2.78814129,470,57811.00000000,1.39002888,0
2021-03-03 13:15:26.057906458,1614794400000,0.00002395,0.00002395,0.00002377,0.00002390,105887.00000000,1614797999999,2.52645145,403,52792.00000000,1.25985955,0
2021-03-03 14:15:40.089086859,1614798000000,0.00002389,0.00002406,0.00002379,0.00002400,205250.00000000,1614801599999,4.90869421,667,115868.00000000,2.77089903,0
2021-03-03 15:15:54.120267260,1614801600000,0.00002396,0.00002408,0.00002385,0.00002392,124463.00000000,1614805199999,2.98100777,443,60436.00000000,1.44871314,0
2021-03-03 16:16:08.151447661,1614805200000,0.00002392,0.00002415,0.00002391,0.00002414,157106.00000000,1614808799999,3.77416705,486,79571.00000000,1.91357307,0
2021-03-03 17:16:22.182628062,1614808800000,0.00002410,0.00002467,0.00002404,0.00002465,157759.00000000,1614812399999,3.85253461,917,85453.00000000,2.08712181,0
2021-03-03 18:16:36.213808463,1614812400000,0.00002463,0.00002474,0.00002408,0.00002418,534112.00000000,1614815999999,13.04363753,1698,203308.00000000,4.98490222,0
2021-03-03 19:16:50.244988864,1614816000000,0.00002418,0.00002434,0.00002403,0.00002424,132600.00000000,1614819599999,3.20845837,497,59479.00000000,1.44020328,0
