,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Asset Volume,Ignore
2021-02-28 19:00:00.000000000,1614556800000,0.00054724,0.00054988,0.00053989,0.00054538,69353.60000000,1614560399999,37.73387612,2311,29692.20000000,16.15856746,0
2021-02-28 20:00:14.031180400,1614560400000,0.00054564,0.00054764,0.00053935,0.00054159,58082.90000000,1614563999999,31.50044109,1729,24749.70000000,13.42860888,0
2021-02-28 21:00:28.062360801,1614564000000,0.00054174,0.00054632,0.00054154,0.00054219,34461.70000000,1614567599999,18.74338080,1304,19649.70000000,10.68902965,0
2021-02-28 22:00:42.093541202,1614567600000,0.00054240,0.00054526,0.00053932,0.00053961,30478.50000000,1614571199999,16.52942210,1105,18095.00000000,9.81241844,0
2021-02-28 23:00:56.124721603,1614571200000,0.00054000,0.00054164,0.00053842,0.00053953,27987.30000000,1614574799999,15.11176861,1016,15235.80000000,8.22860322,0
2021-03-01 00:01:10.155902004,1614574800000,0.00053958,0.00054299,0.00053868,0.00053925,42354.40000000,1614578399999,22.89461235,1035,13884.80000000,7.51201621,0
2021-03-01 01:01:24.187082405,1614578400000,0.00053964,0.00054491,0.00053821,0.00054107,39306.60000000,1614581999999,21.27434979,1397,24155.00000000,13.06814480,0
2021-03-01 02:01:38.218262806,1614582000000,0.00054107,0.00054693,0.00054030,0.00054604,29405.00000000,1614585599999,15.97745434,1238,14638.00000000,7.95152776,0
2021-03-01 03:01:52.249443207,1614585600000,0.00054626,0.00054745,0.00054213,0.00054669,56497.40000000,1614589199999,30.77937612,2028,30493.40000000,16.61785111,0
2021-03-01 04:02:06.280623608,1614589200000,0.00054638,0.00056569,0.00054638,0.00056242,132791.00000000,1614592799999,73.70609579,6954,59374.60000000,33.01788925,0
2021-03-01 05:02:20.311804008,1614592800000,0.00056271,0.00057436,0.00055813,0.00055877,118883.90000000,1614596399999,66.89627424,5300,72386.60000000,40.77463136,0
2021-03-01 06:02:34.342984409,1614596400000,0.00055856,0.00056027,0.00055248,0.00055586,101705.00000000,1614599999999,56.41012148,3017,46012.20000000,25.51845997,0
2021-03-01 07:02:48.374164810,1614600000000,0.00055595,0.00055728,0.00055183,0.00055387,52025.30000000,1614603599999,28.84273073,2064,23848.80000000,13.21860064,0
2021-03-01 08:03:02.405345211,1614603600000,0.00055383,0.00055714,0.00054946,0.00055117,69981.10000000,1614607199999,38.76213866,2289,34448.50000000,19.08793105,0
2021-03-01 09:03:16.436525612,1614607200000,0.00055067,0.00056415,0.00054837,0.00056161,205548.70000000,1614610799999,114.58588137,4390,69407.90000000,38.59114594,0
2021-03-01 10:03:30.467706013,1614610800000,0.00056158,0.00056660,0.00054780,0.00055277,116905.50000000,1614614399999,64.99581309,4394,62888.00000000,35.00095397,0
2021-03-01 11:03:44.498886414,1614614400000,0.00055237,0.00056307,0.00054674,0.00054783,117935.10000000,1614617999999,65.29488061,4233,56202.80000000,31.13912301,0
2021-03-01 12:03:58.530066815,1614618000000,0.00054723,0.00054813,0.00053941,0.00053975,80156.70000000,1614621599999,43.66292586,2247,44555.50000000,24.27669050,0
2021-03-01 13:04:12.561247216,1614621600000,0.00053934,0.00054327,0.00053717,0.00054244,80084.50000000,1614625199999,43.21880898,2362,45099.90000000,24.34206082,0
2021-03-01 14:04:26.592427616,1614625200000,0.00054243,0.00054988,0.00054146,0.00054563,43292.00000000,1614628799999,23.58674461,1960,21691.30000000,11.82056276,0
2021-03-01 15:04:40.623608017,1614628800000,0.00054604,0.00055499,0.00054498,0.00055204,58698.90000000,1614632399999,32.33982368,2388,28046.50000000,15.46042545,0
2021-03-01 16:04:54.654788418,1614632400000,0.00055219,0.00055351,0.00054745,0.00055289,44679.30000000,1614635999999,24.57323588,1493,19129.00000000,10.52244364,0
2021-03-01 17:05:08.685968819,1614636000000,0.00055313,0.00055550,0.00054550,0.00055368,31693.00000000,1614639599999,17.46265082,1788,16734.50000000,9.22709766,0
2021-03-01 18:05:22.717149220,1614639600000,0.00055368,0.00055938,0.00055050,0.00055853,75689.30000000,1614643199999,41.96234640,2819,39137.60000000,21.70442234,0
2021-03-01 19:05:36.748329621,1614643200000,0.00055861,0.00056710,0.00055681,0.00056176,143983.20000000,1614646799999,81.00630662,6058,66950.60000000,37.68174016,0
2021-03-01 20:05:50.779510022,1614646800000,0.00056139,0.00056638,0.00055613,0.00056558,74301.80000000,1614650399999,41.70895315,2405,40861.90000000,22.96811134,0
